['the_Year', 47.48435586778166]
['the_2006', 44.931306780567766]
['the_2010', 44.394556844253835]
['Player_of_the', 43.294962884702315]
['of_the_Year', 40.989146187788826]
['the_1994', 38.02286754341041]
['of_the_2010', 37.9864155568218]
['for_the_2006', 37.253115433700955]
['in_the_1994', 35.01410435431822]
['12_,_2010', 29.621338474161426]
['2_,_2006', 27.318498919891894]
['Year_for_2006', 27.27243696255411]
[',_2006', 25.900179109311217]
[',_2010', 24.840671760654075]
['Fulham_on_5', 21.806673708688322]
['June_12_,', 21.506189977049498]
['2006', 20.70281058401363]
['for_2006', 17.433468174212106]
['May_2_,', 14.410769057335093]
['2010', 14.183114441893052]
['12_,', 14.057556474024034]
['March_2013', 11.90744843825027]
['club_on_March', 11.68329898809652]
['On_June_12', 11.331190755306409]
['2_,', 10.866375759270149]
['In_March_2013', 10.75565724786557]
['on_March_17', 9.203326059294973]
['March_17', 9.134859716010489]
['June_12', 8.596698423008018]
['On_May_2', 8.493022387420648]
['2013', 8.113208468478508]
['12', 8.021334278104456]
['Year', 7.902487437162855]
['March', 7.588479939543525]
['On_June', 7.320523616254182]
['on_5_May', 6.648156815956609]
['5_May', 6.579690472672125]
['On_May', 6.444124652013556]
['1994', 6.325572716434315]
['May_2', 5.758530055122256]
['17', 5.340619746238726]
['May', 4.841614778624906]
['on_March', 4.828382891320309]
['In_March', 4.793580228960173]
['June', 4.58603128395579]
['on_5', 4.227349426644156]
['5', 4.1588830833596715]
['2', 3.3377226658098023]
['of_the', 0.24716556766049308]
