['the', 19]
['of', 17]
[',', 13]
['.', 10]
['in', 9]
['by', 6]
['and', 6]
['electricity', 5]
['to', 5]
['his', 5]
['a', 5]
['been', 4]
['he', 4]
[',_and', 4]
['of_the', 4]
['of_electricity', 4]
['had', 3]
['him', 3]
['with', 3]
["'s", 3]
['In', 3]
['Volta', 3]
['His', 2]
['pile', 2]
['discovery', 2]
['invention', 2]
['gases', 2]
['He', 2]
['leg', 2]
['on', 2]
['study', 2]
['named', 2]
['battery', 2]
['credited', 2]
['frog', 2]
['made', 2]
['this', 2]
['work', 2]
['is', 2]
['it', 2]
['The', 2]
['professor', 2]
["frog_'s", 2]
['electricity_,', 2]
['of_gases', 2]
['been_the', 2]
['in_the', 2]
['the_frog', 2]
["'s_leg", 2]
['him_a', 2]
['of_electricity_,', 2]
["the_frog_'s", 2]
["frog_'s_leg", 2]
["the_frog_'s_leg", 2]
['Cavallo', 1]
['discovered', 1]
['Capacitance', 1]
['paper', 1]
['still', 1]
['its', 1]
['before', 1]
['cell', 1]
['banknote', 1]
['Transactions', 1]
['young', 1]
['actually', 1]
['detected', 1]
['other', 1]
['Padua', 1]
['lira', 1]
['has', 1]
['influences', 1]
['means', 1]
['familiar', 1]
['1791', 1]
['tribute', 1]
['Italian', 1]
['always', 1]
['experiments', 1]
['Abraham', 1]
['noted', 1]
['methane', 1]
['Swedish', 1]
['often', 1]
['fascinating', 1]
['series', 1]
['likely', 1]
['portrait', 1]
['even', 1]
['Latin', 1]
['for', 1]
['10.000', 1]
['William', 1]
['written', 1]
['passion', 1]
['closed', 1]
['new', 1]
[';', 1]
['previous', 1]
['Napoleon', 1]
['be', 1]
['This', 1]
['honour', 1]
['Nicholson', 1]
['although', 1]
['along', 1]
['Emperor', 1]
['studied', 1]
['Austria', 1]
['published', 1]
['73', 1]
['promotion', 1]
['studies', 1]
['first', 1]
['Royal', 1]
['1776-77', 1]
['Bennet', 1]
['one', 1]
['volt', 1]
['another', 1]
['vessel', 1]
['spark', 1]
['unit', 1]
['poem', 1]
['invented', 1]
['from', 1]
['introduction', 1]
['Galvani', 1]
['two', 1]
['Carl', 1]
['was', 1]
['``', 1]
['extensive', 1]
['that', 1]
['brine-soaked', 1]
['Wilcke', 1]
['count', 1]
['announcing', 1]
['Society', 1]
['while', 1]
['replaced', 1]
['ignition', 1]
['were', 1]
['p.', 1]
['called', 1]
['metals', 1]
['an', 1]
["''", 1]
['as', 1]
['at', 1]
['have', 1]
['Voltaic', 1]
['1815', 1]
['different', 1]
['1810', 1]
['Around', 1]
['began', 1]
['when', 1]
['field', 1]
['potential', 1]
['electrical', 1]
['animal', 1]
['devised', 1]
['Law', 1]
['electric', 1]
['may', 1]
['philosophy', 1]
['paid', 1]
['appeared', 1]
['connected', 1]
['Tiberius', 1]
['student', 1]
['such', 1]
['Johan', 1]
['euro', 1]
['building', 1]
['chemistry', 1]
['1800', 1]
['flow', 1]
['Philosophical', 1]
['so', 1]
['1764', 1]
['poem_in', 1]
[';_in', 1]
['named_him', 1]
['In_honour', 1]
['pile_,', 1]
['Philosophical_Transactions', 1]
['a_poem', 1]
['for_this', 1]
[',_Napoleon', 1]
['banknote_,', 1]
['young_student', 1]
['by_an', 1]
['He_replaced', 1]
['portrait_,', 1]
['Emperor_of', 1]
['studies_of', 1]
['he_had', 1]
['He_published', 1]
['with_its', 1]
['along_with', 1]
['1764_by', 1]
['series_with', 1]
['Bennet_.', 1]
['invented_in', 1]
['he_studied', 1]
['electric_spark', 1]
['such_as', 1]
['and_likely', 1]
['In_announcing', 1]
['before_the', 1]
['tribute_to', 1]
['familiar_to', 1]
['been_invented', 1]
['volt_.', 1]
['his_portrait', 1]
['at_Padua', 1]
['this_work', 1]
['Society_.', 1]
['methane_,', 1]
['invention_,', 1]
['battery_made', 1]
["''_noted", 1]
['honour_of', 1]
['the_field', 1]
['had_always', 1]
['devised_experiments', 1]
['two_different', 1]
['Wilcke_,', 1]
['metals_were', 1]
['his_work', 1]
['discovery_of', 1]
['study_of', 1]
['philosophy_at', 1]
['Johan_Carl', 1]
['and_detected', 1]
['Carl_Wilcke', 1]
['His_promotion', 1]
['to_study', 1]
['always_been', 1]
['connected_in', 1]
['credited_with', 1]
['a_closed', 1]
['to_him', 1]
['be_called', 1]
['closed_vessel', 1]
['credited_to', 1]
['likely_for', 1]
['Volta_is', 1]
['by_other', 1]
['in_a', 1]
['1791_he', 1]
[',_p.', 1]
['and_devised', 1]
['a_professor', 1]
['potential_has', 1]
['new_discovery', 1]
['pile_battery', 1]
['experiments_such', 1]
['10.000_lira', 1]
['have_been', 1]
['influences_of', 1]
['another_.', 1]
['noted_by', 1]
['discovered_methane', 1]
['study_the', 1]
['the_introduction', 1]
['by_Volta', 1]
['lira_banknote', 1]
[',_although', 1]
['the_Royal', 1]
['This_may', 1]
['fascinating_new', 1]
['this_fascinating', 1]
['on_this', 1]
['and_while', 1]
['unit_of', 1]
['has_been', 1]
['when_two', 1]
['professor_of', 1]
['the_ignition', 1]
['in_1815', 1]
['the_Emperor', 1]
['the_flow', 1]
['and_Abraham', 1]
['in_1810', 1]
['Voltaic_pile', 1]
['an_electric', 1]
['although_it', 1]
['often_credited', 1]
[',_discovered', 1]
[',_appeared', 1]
['battery_in', 1]
['Volta_paid', 1]
['the_volt', 1]
['means_familiar', 1]
['one_another', 1]
['73_In', 1]
['he_is', 1]
['vessel_.', 1]
['as_the', 1]
['spark_in', 1]
['Capacitance_,', 1]
['1776-77_he', 1]
['the_first', 1]
['ignition_of', 1]
['a_count', 1]
['it_was', 1]
['Swedish_professor', 1]
['p._73', 1]
['electricity_by', 1]
['is_credited', 1]
['he_began', 1]
['passion_had', 1]
['the_chemistry', 1]
['in_1800', 1]
['the_influences', 1]
['to_have', 1]
['published_his', 1]
['his_previous', 1]
['Padua_.', 1]
['in_Latin', 1]
